algo genetique
makespan : 1292.000000 
makespan : 1292.000000 
makespan : 1292.000000 
makespan : 1292.000000 
makespan : 1292.000000 
makespan : 1292.000000 
makespan : 1292.000000 
makespan : 1292.000000 
makespan : 1292.000000 
makespan : 1292.000000 
makespan : 1292.000000 
makespan : 1292.000000 
makespan : 1292.000000 
makespan : 1292.000000 
makespan : 1292.000000 
makespan : 1292.000000 
makespan : 1292.000000 
makespan : 1292.000000 
makespan : 1292.000000 
makespan : 1292.000000 
makespan : 1292.000000 
makespan : 1292.000000 
makespan : 1292.000000 
makespan : 1292.000000 
makespan : 1292.000000 
makespan : 1292.000000 
makespan : 1292.000000 
makespan : 1292.000000 
makespan : 1292.000000 
makespan : 1292.000000 

2m7s
