algo memetique
makespan : 979.000000 
makespan : 1012.000000 
makespan : 981.000000 
makespan : 1031.000000 
makespan : 1020.000000 
makespan : 973.000000 
makespan : 982.000000 
makespan : 954.000000 
makespan : 1029.000000 
makespan : 1032.000000 
makespan : 1001.000000 
makespan : 1027.000000 
makespan : 1008.000000 
makespan : 979.000000 
makespan : 1010.000000 
makespan : 980.000000 
makespan : 1005.000000 
makespan : 997.000000 
makespan : 979.000000 
makespan : 1022.000000 
makespan : 1006.000000 
makespan : 989.000000 
makespan : 1004.000000 
makespan : 1001.000000 
makespan : 1018.000000 
makespan : 979.000000 
makespan : 1002.000000 
makespan : 994.000000 
makespan : 1017.000000 
makespan : 981.000000 
