algo genetique
makespan : 863.000000 
makespan : 869.000000 
makespan : 863.000000 
makespan : 863.000000 
makespan : 863.000000 
makespan : 863.000000 
makespan : 865.000000 
makespan : 863.000000 
makespan : 863.000000 
makespan : 880.000000 
makespan : 863.000000 
makespan : 863.000000 
makespan : 863.000000 
makespan : 863.000000 
makespan : 863.000000 
makespan : 863.000000 
makespan : 863.000000 
makespan : 863.000000 
makespan : 863.000000 
makespan : 887.000000 
makespan : 863.000000 
makespan : 863.000000 
makespan : 879.000000 
makespan : 893.000000 
makespan : 863.000000 
makespan : 869.000000 
makespan : 863.000000 
makespan : 863.000000 
makespan : 863.000000 
makespan : 863.000000 

1m10
