algo genetique
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 

1m7s
