algo genetique
makespan : 1039.000000 
makespan : 1039.000000 
makespan : 1039.000000 
makespan : 1039.000000 
makespan : 1039.000000 
makespan : 1039.000000 
makespan : 1039.000000 
makespan : 1039.000000 
makespan : 1039.000000 
makespan : 1039.000000 
makespan : 1039.000000 
makespan : 1039.000000 
makespan : 1039.000000 
makespan : 1039.000000 
makespan : 1039.000000 
makespan : 1067.000000 
makespan : 1045.000000 
makespan : 1039.000000 
makespan : 1039.000000 
makespan : 1039.000000 
makespan : 1039.000000 
makespan : 1039.000000 
makespan : 1039.000000 
makespan : 1044.000000 
makespan : 1039.000000 
makespan : 1039.000000 
makespan : 1039.000000 
makespan : 1039.000000 
makespan : 1039.000000 
makespan : 1039.000000 
