algo memetique
makespan : 1039.000000 
makespan : 1039.000000 
makespan : 1039.000000 
makespan : 1040.000000 
makespan : 1039.000000 
makespan : 1039.000000 
makespan : 1039.000000 
makespan : 1039.000000 
makespan : 1039.000000 
makespan : 1039.000000 
makespan : 1039.000000 
makespan : 1039.000000 
makespan : 1039.000000 
makespan : 1039.000000 
makespan : 1039.000000 
makespan : 1039.000000 
makespan : 1039.000000 
makespan : 1039.000000 
makespan : 1039.000000 
makespan : 1039.000000 
makespan : 1039.000000 
makespan : 1039.000000 
makespan : 1039.000000 
makespan : 1039.000000 
makespan : 1039.000000 
makespan : 1039.000000 
makespan : 1039.000000 
makespan : 1039.000000 
makespan : 1039.000000 
makespan : 1039.000000 
