iter 0 :::1171.000000 
iter = 1 :::1132.000000 
iter 2 :::1132.000000 
iter 3 :::1132.000000 
iter 4 :::1132.000000 
iter 5 :::1132.000000 
iter 6 :::1132.000000 
iter 7 :::1132.000000 
iter = 8 :::1116.000000 
iter 9 :::1116.000000 
iter 10 :::1116.000000 
iter 11 :::1116.000000 
iter 12 :::1116.000000 
iter 13 :::1116.000000 
iter 14 :::1116.000000 
iter 15 :::1116.000000 
iter 16 :::1116.000000 
iter 17 :::1116.000000 
iter 18 :::1116.000000 
iter 19 :::1116.000000 
iter 20 :::1116.000000 
iter = 21 :::1109.000000 
iter 22 :::1109.000000 
iter 23 :::1109.000000 
iter 24 :::1109.000000 
iter 25 :::1109.000000 
iter 26 :::1109.000000 
iter 27 :::1109.000000 
iter 28 :::1109.000000 
iter 29 :::1109.000000 
iter 30 :::1109.000000 
iter 31 :::1109.000000 
iter 32 :::1109.000000 
iter 33 :::1109.000000 
iter 34 :::1109.000000 
iter 35 :::1109.000000 
iter 36 :::1109.000000 
iter 37 :::1109.000000 
