algo genetique
makespan : 1150.000000 
makespan : 1150.000000 
makespan : 1150.000000 
makespan : 1150.000000 
makespan : 1150.000000 
makespan : 1150.000000 
makespan : 1163.000000 
makespan : 1150.000000 
makespan : 1150.000000 
makespan : 1150.000000 
makespan : 1150.000000 
makespan : 1150.000000 
makespan : 1150.000000 
makespan : 1150.000000 
makespan : 1150.000000 
makespan : 1150.000000 
makespan : 1150.000000 
makespan : 1150.000000 
makespan : 1150.000000 
makespan : 1150.000000 
makespan : 1150.000000 
makespan : 1150.000000 
makespan : 1150.000000 
makespan : 1150.000000 
makespan : 1150.000000 
makespan : 1150.000000 
makespan : 1150.000000 
makespan : 1150.000000 
makespan : 1150.000000 
makespan : 1150.000000 

2m10
