algo memetique
makespan : 684.000000 
makespan : 666.000000 
makespan : 676.000000 
makespan : 696.000000 
makespan : 679.000000 
makespan : 686.000000 
makespan : 669.000000 
makespan : 665.000000 
makespan : 686.000000 
makespan : 692.000000 
makespan : 683.000000 
makespan : 673.000000 
makespan : 680.000000 
makespan : 685.000000 
makespan : 677.000000 
makespan : 702.000000 
makespan : 669.000000 
makespan : 670.000000 
makespan : 672.000000 
makespan : 676.000000 
makespan : 694.000000 
makespan : 708.000000 
makespan : 683.000000 
makespan : 667.000000 
makespan : 686.000000 
makespan : 680.000000 
makespan : 697.000000 
makespan : 680.000000 
makespan : 689.000000 
makespan : 685.000000 
