algo memetique
makespan : 888.000000 
makespan : 894.000000 
makespan : 872.000000 
makespan : 905.000000 
makespan : 887.000000 
makespan : 911.000000 
makespan : 875.000000 
makespan : 899.000000 
makespan : 897.000000 
makespan : 914.000000 
makespan : 926.000000 
makespan : 909.000000 
makespan : 885.000000 
makespan : 891.000000 
makespan : 878.000000 
makespan : 896.000000 
makespan : 884.000000 
makespan : 884.000000 
makespan : 873.000000 
makespan : 882.000000 
makespan : 914.000000 
makespan : 894.000000 
makespan : 897.000000 
makespan : 883.000000 
makespan : 877.000000 
makespan : 887.000000 
makespan : 867.000000 
makespan : 869.000000 
makespan : 881.000000 
makespan : 917.000000 
