algo memetique
makespan : 617.000000 
makespan : 634.000000 
makespan : 644.000000 
makespan : 620.000000 
makespan : 629.000000 
makespan : 641.000000 
makespan : 631.000000 
makespan : 635.000000 
makespan : 623.000000 
makespan : 638.000000 
makespan : 642.000000 
makespan : 628.000000 
makespan : 642.000000 
makespan : 632.000000 
makespan : 633.000000 
makespan : 639.000000 
makespan : 627.000000 
makespan : 626.000000 
makespan : 617.000000 
makespan : 623.000000 
makespan : 642.000000 
makespan : 626.000000 
makespan : 638.000000 
makespan : 626.000000 
makespan : 642.000000 
makespan : 635.000000 
makespan : 628.000000 
makespan : 633.000000 
makespan : 621.000000 
makespan : 626.000000 
