algo memetique
makespan : 863.000000 
makespan : 863.000000 
makespan : 863.000000 
makespan : 863.000000 
makespan : 863.000000 
makespan : 863.000000 
makespan : 863.000000 
makespan : 863.000000 
makespan : 863.000000 
makespan : 863.000000 
makespan : 863.000000 
makespan : 883.000000 
makespan : 863.000000 
makespan : 863.000000 
makespan : 863.000000 
makespan : 883.000000 
makespan : 863.000000 
makespan : 863.000000 
makespan : 865.000000 
makespan : 863.000000 
makespan : 863.000000 
makespan : 863.000000 
makespan : 863.000000 
makespan : 870.000000 
makespan : 863.000000 
makespan : 863.000000 
makespan : 863.000000 
makespan : 863.000000 
makespan : 892.000000 
makespan : 863.000000 

1m10s
