algo memetique
makespan : 1322.000000 
makespan : 1312.000000 
makespan : 1300.000000 
makespan : 1298.000000 
makespan : 1280.000000 
makespan : 1253.000000 
makespan : 1280.000000 
makespan : 1279.000000 
makespan : 1275.000000 
makespan : 1280.000000 
makespan : 1270.000000 
makespan : 1263.000000 
makespan : 1270.000000 
makespan : 1297.000000 
makespan : 1336.000000 
makespan : 1230.000000 
makespan : 1353.000000 
makespan : 1300.000000 
makespan : 1282.000000 
makespan : 1317.000000 
makespan : 1280.000000 
makespan : 1291.000000 
makespan : 1259.000000 
makespan : 1308.000000 
makespan : 1292.000000 
makespan : 1253.000000 
makespan : 1317.000000 
makespan : 1275.000000 
makespan : 1347.000000 
makespan : 1303.000000 

2m14
