algo genetique
makespan : 1222.000000 
makespan : 1222.000000 
makespan : 1222.000000 
makespan : 1222.000000 
makespan : 1222.000000 
makespan : 1222.000000 
makespan : 1222.000000 
makespan : 1222.000000 
makespan : 1222.000000 
makespan : 1222.000000 
makespan : 1222.000000 
makespan : 1222.000000 
makespan : 1222.000000 
makespan : 1222.000000 
makespan : 1222.000000 
makespan : 1222.000000 
makespan : 1222.000000 
makespan : 1222.000000 
makespan : 1222.000000 
makespan : 1222.000000 
makespan : 1222.000000 
makespan : 1222.000000 
makespan : 1222.000000 
makespan : 1222.000000 
makespan : 1222.000000 
makespan : 1222.000000 
makespan : 1222.000000 
makespan : 1222.000000 
makespan : 1222.000000 
makespan : 1222.000000 
