algo genetique
makespan : 933.000000 
makespan : 963.000000 
makespan : 948.000000 
makespan : 947.000000 
makespan : 974.000000 
makespan : 949.000000 
makespan : 974.000000 
makespan : 989.000000 
makespan : 962.000000 
makespan : 995.000000 
makespan : 966.000000 
makespan : 942.000000 
makespan : 958.000000 
makespan : 957.000000 
makespan : 968.000000 
makespan : 990.000000 
makespan : 922.000000 
makespan : 934.000000 
makespan : 922.000000 
makespan : 951.000000 
makespan : 953.000000 
makespan : 965.000000 
makespan : 919.000000 
makespan : 968.000000 
makespan : 944.000000 
makespan : 912.000000 
makespan : 942.000000 
makespan : 950.000000 
makespan : 953.000000 
makespan : 945.000000 
