algo genetique
makespan : 1294.000000 
makespan : 1289.000000 
makespan : 1293.000000 
makespan : 1345.000000 
makespan : 1293.000000 
makespan : 1291.000000 
makespan : 1302.000000 
makespan : 1267.000000 
makespan : 1281.000000 
makespan : 1324.000000 
makespan : 1292.000000 
makespan : 1308.000000 
makespan : 1306.000000 
makespan : 1267.000000 
makespan : 1299.000000 
makespan : 1300.000000 
makespan : 1277.000000 
makespan : 1256.000000 
makespan : 1331.000000 
makespan : 1299.000000 
makespan : 1295.000000 
makespan : 1291.000000 
makespan : 1321.000000 
makespan : 1295.000000 
makespan : 1308.000000 
makespan : 1271.000000 
makespan : 1317.000000 
makespan : 1301.000000 
makespan : 1317.000000 
makespan : 1263.000000 

time:2m16
