algo genetique
makespan : 885.000000 
makespan : 918.000000 
makespan : 890.000000 
makespan : 877.000000 
makespan : 898.000000 
makespan : 913.000000 
makespan : 923.000000 
makespan : 911.000000 
makespan : 891.000000 
makespan : 866.000000 
makespan : 890.000000 
makespan : 875.000000 
makespan : 871.000000 
makespan : 889.000000 
makespan : 926.000000 
makespan : 888.000000 
makespan : 913.000000 
makespan : 870.000000 
makespan : 883.000000 
makespan : 913.000000 
makespan : 891.000000 
makespan : 922.000000 
makespan : 883.000000 
makespan : 894.000000 
makespan : 905.000000 
makespan : 885.000000 
makespan : 861.000000 
makespan : 909.000000 
makespan : 892.000000 
makespan : 903.000000 
