algo memetique
makespan : 666.000000 
makespan : 666.000000 
makespan : 666.000000 
makespan : 666.000000 
makespan : 666.000000 
makespan : 666.000000 
makespan : 666.000000 
makespan : 666.000000 
makespan : 666.000000 
makespan : 666.000000 
makespan : 666.000000 
makespan : 666.000000 
makespan : 666.000000 
makespan : 666.000000 
makespan : 666.000000 
makespan : 666.000000 
makespan : 666.000000 
makespan : 666.000000 
makespan : 666.000000 
makespan : 666.000000 
makespan : 666.000000 
makespan : 666.000000 
makespan : 666.000000 
makespan : 666.000000 
makespan : 666.000000 
makespan : 666.000000 
makespan : 666.000000 
makespan : 666.000000 
makespan : 666.000000 
makespan : 666.000000 
