algo genetique
makespan : 951.000000 
makespan : 951.000000 
makespan : 951.000000 
makespan : 951.000000 
makespan : 951.000000 
makespan : 951.000000 
makespan : 951.000000 
makespan : 951.000000 
makespan : 951.000000 
makespan : 951.000000 
makespan : 951.000000 
makespan : 951.000000 
makespan : 951.000000 
makespan : 951.000000 
makespan : 951.000000 
makespan : 951.000000 
makespan : 951.000000 
makespan : 951.000000 
makespan : 951.000000 
makespan : 951.000000 
makespan : 951.000000 
makespan : 951.000000 
makespan : 951.000000 
makespan : 951.000000 
makespan : 951.000000 
makespan : 951.000000 
makespan : 951.000000 
makespan : 951.000000 
makespan : 951.000000 
makespan : 951.000000 
1m10
