algo memetique
makespan : 1150.000000 
makespan : 1150.000000 
makespan : 1150.000000 
makespan : 1150.000000 
makespan : 1150.000000 
makespan : 1150.000000 
makespan : 1150.000000 
makespan : 1150.000000 
makespan : 1150.000000 
makespan : 1150.000000 
makespan : 1150.000000 
makespan : 1150.000000 
makespan : 1150.000000 
makespan : 1150.000000 
makespan : 1150.000000 
makespan : 1150.000000 
makespan : 1150.000000 
makespan : 1150.000000 
makespan : 1150.000000 
makespan : 1150.000000 
makespan : 1150.000000 
makespan : 1150.000000 
makespan : 1150.000000 
makespan : 1150.000000 
makespan : 1150.000000 
makespan : 1150.000000 
makespan : 1150.000000 
makespan : 1150.000000 
makespan : 1150.000000 
makespan : 1150.000000 
2m9s
