algo memetique
makespan : 1222.000000 
makespan : 1222.000000 
makespan : 1222.000000 
makespan : 1222.000000 
makespan : 1222.000000 
makespan : 1222.000000 
makespan : 1222.000000 
makespan : 1222.000000 
makespan : 1222.000000 
makespan : 1222.000000 
makespan : 1222.000000 
makespan : 1222.000000 
makespan : 1222.000000 
makespan : 1222.000000 
makespan : 1222.000000 
makespan : 1222.000000 
makespan : 1222.000000 
makespan : 1222.000000 
makespan : 1222.000000 
makespan : 1222.000000 
makespan : 1233.000000 
makespan : 1222.000000 
makespan : 1222.000000 
makespan : 1222.000000 
makespan : 1222.000000 
makespan : 1222.000000 
makespan : 1222.000000 
makespan : 1222.000000 
makespan : 1222.000000 
makespan : 1222.000000 

2m11s
