algo memetique
makespan : 939.000000 
makespan : 941.000000 
makespan : 959.000000 
makespan : 988.000000 
makespan : 982.000000 
makespan : 933.000000 
makespan : 912.000000 
makespan : 964.000000 
makespan : 912.000000 
makespan : 912.000000 
makespan : 933.000000 
makespan : 1013.000000 
makespan : 955.000000 
makespan : 969.000000 
makespan : 917.000000 
makespan : 910.000000 
makespan : 937.000000 
makespan : 939.000000 
makespan : 980.000000 
makespan : 942.000000 
makespan : 913.000000 
makespan : 937.000000 
makespan : 921.000000 
makespan : 948.000000 
makespan : 915.000000 
makespan : 963.000000 
makespan : 927.000000 
makespan : 919.000000 
makespan : 907.000000 
makespan : 979.000000 
