iter = 0 :::1209.000000 
iter 1 :::1209.000000 
iter 2 :::1209.000000 
iter 3 :::1209.000000 
iter = 4 :::1180.000000 
iter 5 :::1180.000000 
iter 6 :::1180.000000 
iter 7 :::1180.000000 
iter 8 :::1180.000000 
iter 9 :::1180.000000 
iter 10 :::1180.000000 
iter 11 :::1180.000000 
iter 12 :::1180.000000 
iter 13 :::1180.000000 
iter = 14 :::1168.000000 
iter 15 :::1168.000000 
iter 16 :::1168.000000 
iter 17 :::1168.000000 
iter 18 :::1168.000000 
iter 19 :::1168.000000 
iter 20 :::1168.000000 
iter 21 :::1168.000000 
iter = 22 :::1160.000000 
iter 23 :::1160.000000 
iter 24 :::1160.000000 
iter 25 :::1160.000000 
iter = 26 :::1159.000000 
iter 27 :::1159.000000 
iter 28 :::1159.000000 
iter = 29 :::1129.000000 
iter 30 :::1129.000000 
iter = 31 :::1128.000000 
iter = 32 :::1119.000000 
iter 33 :::1119.000000 
iter 34 :::1119.000000 
iter = 35 :::1115.000000 
iter 36 :::1115.000000 
iter 37 :::1115.000000 
iter = 38 :::1114.000000 
iter 39 :::1114.000000 
iter 40 :::1114.000000 
iter 41 :::1114.000000 
iter 42 :::1114.000000 
iter 43 :::1114.000000 
iter 44 :::1114.000000 
iter = 45 :::1105.000000 
iter 46 :::1105.000000 
iter 47 :::1105.000000 
iter 48 :::1105.000000 
iter 49 :::1105.000000 
iter 50 :::1105.000000 
iter 51 :::1105.000000 
iter 52 :::1105.000000 
iter 53 :::1105.000000 
iter 54 :::1105.000000 
iter = 55 :::1096.000000 
iter 56 :::1096.000000 
iter 57 :::1096.000000 
iter 58 :::1096.000000 
iter 59 :::1096.000000 
iter 60 :::1096.000000 
iter 61 :::1096.000000 
iter 62 :::1096.000000 
iter 63 :::1096.000000 
iter = 64 :::1064.000000 
iter 65 :::1064.000000 
iter 66 :::1064.000000 
iter 67 :::1064.000000 
iter 68 :::1064.000000 
iter 69 :::1064.000000 
iter 70 :::1064.000000 
iter 71 :::1064.000000 
iter 72 :::1064.000000 
iter 73 :::1064.000000 
iter 74 :::1064.000000 
iter = 75 :::1043.000000 
iter 76 :::1043.000000 
iter 77 :::1043.000000 
iter 78 :::1043.000000 
iter 79 :::1043.000000 
iter 80 :::1043.000000 
iter 81 :::1043.000000 
iter 82 :::1043.000000 
iter 83 :::1043.000000 
iter 84 :::1043.000000 
iter 85 :::1043.000000 
iter 86 :::1043.000000 
iter 87 :::1043.000000 
iter 88 :::1043.000000 
iter 89 :::1043.000000 
iter 90 :::1043.000000 
iter 91 :::1043.000000 
