algo memetique
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 
makespan : 958.000000 

1m8s
