algo memetique
makespan : 908.000000 
makespan : 889.000000 
makespan : 910.000000 
makespan : 895.000000 
makespan : 892.000000 
makespan : 896.000000 
makespan : 892.000000 
makespan : 913.000000 
makespan : 905.000000 
makespan : 917.000000 
makespan : 909.000000 
makespan : 919.000000 
makespan : 865.000000 
makespan : 884.000000 
makespan : 888.000000 
makespan : 886.000000 
makespan : 909.000000 
makespan : 859.000000 
makespan : 905.000000 
makespan : 913.000000 
makespan : 913.000000 
makespan : 908.000000 
makespan : 909.000000 
makespan : 915.000000 
makespan : 916.000000 
makespan : 913.000000 
makespan : 871.000000 
makespan : 887.000000 
makespan : 891.000000 
makespan : 898.000000 
