algo genetique
makespan : 907.000000 
makespan : 892.000000 
makespan : 924.000000 
makespan : 893.000000 
makespan : 917.000000 
makespan : 872.000000 
makespan : 866.000000 
makespan : 874.000000 
makespan : 924.000000 
makespan : 894.000000 
makespan : 869.000000 
makespan : 919.000000 
makespan : 921.000000 
makespan : 910.000000 
makespan : 891.000000 
makespan : 896.000000 
makespan : 924.000000 
makespan : 892.000000 
makespan : 875.000000 
makespan : 897.000000 
makespan : 885.000000 
makespan : 894.000000 
makespan : 886.000000 
makespan : 900.000000 
makespan : 885.000000 
makespan : 884.000000 
makespan : 885.000000 
makespan : 911.000000 
makespan : 898.000000 
makespan : 889.000000 
